id;name;color;create_date;modification_date;close_date
1;contextually-based Home Loan Account Books;RED;2020-03-09;2020-03-10;2020-03-10
2;Refined Frozen Table Infrastructure;RED;2020-03-10;2020-03-10;2020-03-10
3;alarm Kansas utilize;GREEN;2020-03-10;2020-03-09;2020-03-10
4;exploit system e-services;GREEN;2020-03-10;2020-03-09;2020-03-10
5;redefine digital;RED;2020-03-10;2020-03-10;2020-03-10
6;invoice gold;GREEN;2020-03-10;2020-03-10;2020-03-10
7;revolutionary;RED;2020-03-10;2020-03-10;2020-03-09
8;mobile;GREEN;2020-03-09;2020-03-10;2020-03-10
9;turquoise;GREEN;2020-03-10;2020-03-09;2020-03-09
10;Fresh Corners;GREEN;2020-03-10;2020-03-10;2020-03-10
